"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2004-02-18,6.7,NA,27,16,20,7,3,2,411,549,47,53,2.8,2.8,8.1,8.1,NA,2004-02-17 12:00:00
"Rotoehu","3",2004-03-30,16.2,10,10,12,9,2,2,2.7,393,427,52,22,2,2.6,7.7,7.7,NA,2004-03-29 12:00:00
"Rotoehu","3",2004-04-21,4.8,3,8,4,28,0.5,0.5,2.8,329.5,366.5,17,28,3.4,3,8.1,8.1,NA,2004-04-20 12:00:00
"Rotoehu","3",2004-05-18,12.2,3,4,4,6,0.5,0.5,2.8,282.5,387.5,30,22,3,2.4,8.2,8.2,NA,2004-05-17 12:00:00
"Rotoehu","3",2004-06-15,8.3,3,3,3,10,1,1,2.6,340,301,17,27,2.6,3,8.1,8.2,NA,2004-06-14 12:00:00
"Rotoehu","3",2004-07-28,7.1,5,17,47,45,35,34,2.7,378,337,29,22,3,3.3,7.56,7.55,NA,2004-07-27 12:00:00
"Rotoehu","3",2004-08-25,10,2,2,4,8,2,2,2.9,298,363,13,13,3.2,3,7.83,7.85,NA,2004-08-24 12:00:00
"Rotoehu","3",2004-10-06,64,0.5,0.5,2,2,0.5,1,2.6,361.5,387,21,29,2.1,3.1,8.19,8.18,NA,2004-10-05 12:00:00
"Rotoehu","3",2004-10-19,6.3,5,5,3,5,2,2,3.3,301,304,31,22,2.6,2.2,8,7.9,NA,2004-10-18 12:00:00
"Rotoehu","3",2004-11-17,4.7,8,8,52,43,5,5,5.1,302,279,26,26,1.4,1.3,7.4,7.5,NA,2004-11-16 12:00:00
"Rotoehu","3",2004-12-15,7.5,8,8,5,15,0.5,0.5,4.5,NA,NA,44,38,2.1,1.6,8.1,8.1,NA,2004-12-14 12:00:00
